SYMPTOMS,MEDICINE_NAMES,DOSAGE
itching,camphor,"one week,twice a day,after meal"
skin_rash,hydrocortisone_cream,"two weeks,thrice a day,external use only"
nodal_skin_eruptions,retinoids,"two weeks,twice a day,after meal"
continuous_sneezing,cetirizine,"one week,twice a day,after meal"
shivering,morphine,"10 days,twice a day,after meal"
chills,acetaminophen,"one week,twice a day,after meal"
joint_pain,ibuprofen,"3 weeks,twice a day,after meal"
stomach_pain,ioperamide,"one week,twice a day,after meal"
acidity,omeprazole,"two weeks,twice a day,after meal"
ulcers_on_tongue,Bcomplex_capsule,"one week,twice a day,after meal"
muscle_wasting,creatine_monohydrate,"two weeks,twice a day,after meal"
vomiting,ondem-4,"one week,twice a day,after meal"
burning_micturition,phenazopyridine,"two weeks,twice a day,after meal"
spotting_urination,UTI_relief,"two weeks,twice a day,after meal"
fatigue,Vivarin,"one week,twice a day,after meal"
weight_gain,xenical,"four weeks,twice a day,after meal"
anxiety,alprazolam,"one week,twice a day,after meal"
cold_hands_and_feets,vitamin_B3,"four weeks,once a day,after meal"
mood_swings,deep_breathing,"everyday,twice,whenever needed"
weight_loss,amitriptyline,"one week,twice a day,after meal"
restlessness,dopamine_agonists,"one week,twice a day,after meal"
lethargy,NA,"one week,twice a day,after meal"
patches_in_throat,amoxillin,"four weeks,twice a day,after meal"
irregular_sugar_level,metformin,"one week,twice a day,after meal"
cough,ascorill,"four weeks,twice a day,after meal"
high_fever,calpol,"two weeks,twice a day,after meal"
sunken_eyes,hyaluronic_acid,"one week,twice a day,external use only"
breathlessness,asthalin_inhaler,"two weeks,twice a day,after meal"
sweating,salve_sweatg0_solution,"one week,twice a day,after meal"
dehydration,electral_z+,"two weeks,twice a day,after meal"
indigestion,rolaids,"one week,twice a day,after meal"
headache,ibuprofen,"four days,once a day,after meal"
yellowish_skin,questran,"one week,twice a day,after meal"
dark_urine,alkasol,"three weeks,twice a day,after meal"
nausea,ondasteron,"one week,twice a day,after meal"
loss_of_appetite,Livogen-Z,"10 days,twice a day,after meal"
pain_behind_the_eyes,pherol-400,"one week,twice a day,after meal"
back_pain,machvestin_total,"one week,twice a day,after meal"
constipation,darolac_sachet,"one week,twice a day,after meal"
abdominal_pain,NA,NA
diarrhoea,kaopectate,"one week,twice a day,after meal"
mild_fever,motrin_IB,"two weeks,twice a day,after meal"
yellow_urine,riboflavin,"one week,twice a day,after meal"
yellowing_of_eyes,truebasics_eyeshield,"two weeks,twice a day,after meal"
acute_liver_failure,acetylcysteine,"one week,twice a day,after meal"
fluid_overload,furosemide,"three weeks,once a day,after meal"
swelling_of_stomach,pepto_bismol,"one week,twice a day,after meal"
swelled_lymph_nodes,cefalexin,"one week,twice a day,after meal"
malaise,antidepressants,"three weeks,once a day,after meal"
blurred_and_distorted_vision,consult_doctor,"one week,twice a day,after meal"
phlegm,mucinex,"two weeks,twice a day,after meal"
throat_irritation,tylenol,"one week,twice a day,after meal"
redness_of_eyes,tetrahydrozoline,"two weeks,twice a day,after meal"
sinus_pressure,cerebrain_forte,"three weeks,twice a day,after meal"
runny_nose,chlorpheniramine,"one week,twice a day,after meal"
congestion,oxymetazolin,"two weeks,twice a day,after meal"
chest_pain,nitroglycerin,"one week,twice a day,after meal"
weakness_in_limbs,exercise,"daily,in the morning,after light meal"
fast_heart_rate,tenormin,"one week,twice a day,after meal"
pain_during_bowel_movements,levsin,"three weeks,twice a day,after meal"
pain_in_anal_region,panadol,"one week,twice a day,after meal"
bloody_stool,delponorm_sachet,"two weeks,twice a day,after meal"
irritation_in_anus,crotorax_HC_cream,"one week,twice a day,after meal"
neck_pain,gentle_heat,"one week,twice a day,after meal"
dizziness,antivert,"three weeks,twice a day,after meal"
cramps,motrin_IB,"one week,twice a day,after meal"
bruising,silverex_gel,"10 days,twice a day,external use only"
obesity,NA,"one week,twice a day,after meal"
swollen_legs,lasix,"three weeks,twice a day,after meal"
swollen_blood_vessels,prednisone,"one week,twice a day,after meal"
puffy_face_and_eyes,aspirin,"two weeks,twice a day,after meal"
enlarged_thyroid,levoxyl,"one week,twice a day,after meal"
brittle_nails,biotin,"two weeks,twice a day,after meal"
swollen_extremeties,lasix,"one week,twice a day,after meal"
excessive_hunger,contrave,"two weeks,twice a day,after meal"
extra_marital_contacts,wash_off_your_character,"one week,twice a day,everytime"
drying_and_tingling_lips,apply_petroleum_jelly,"use daily,thrice a day,external use only"
slurred_speech,barbiturates,"four weeks,once a day,after meal"
knee_pain,machvestin_total,"three weeks,once a day,after meal"
hip_joint_pain,machvestin_total,"four weeks,twice a day,after meal"
muscle_weakness,hkvitals_musclebuilder,"one week,twice a day,after meal"
stiff_neck,advil,"three weeks,twice a day,after meal"
swelling_joints,cartilox,"one week,twice a day,after meal"
movement_stiffness,dantrium,"10 days,twice a day,after meal"
spinning_movements,carbamezepine,"two weeks,twice a day,after meal"
loss_of_balance,gentamicin,"one week,twice a day,after meal"
unsteadiness,mesclizine,"four weeks,twice a day,after meal"
weakness_of_one_body_side,desoxyn,"one week,twice a day,after meal"
loss_of_smell,suphedrin_PE,"three weeks,twice a day,after meal"
